username,blitz_points,bullet_points,total_points,average_points
GokulakrishnanV,34,57,91,7.58
Lovesick_127,11,4,15,7.5
tourist_200,16,36,52,7.43
anurag_dubey,74,58,132,7.33
avsh2006,97,57,154,7.33
RC_RC24,79,140,219,7.3
sai2624,89,84,173,7.21
Abhinayresu1234,26,17,43,7.17
GopalNalamwar88,97,132,229,7.16
rishi412f,25,25,50,7.14
abhaydev1,139,241,380,7.04
Vaibhav_1407,14,7,21,7
sharmaaryan2003,52,60,112,7
ruthika,68,64,132,6.95
realkrishna,134,147,281,6.85
giridar2026,33,48,81,6.75
Anirudh_AgarwalW,53,82,135,6.75
Divansh_29,48,100,148,6.73
JAIPRAKASHKANNAN007,58,95,153,6.65
The_TrickSter9,92,87,179,6.63
notbroood,22,31,53,6.62
MrDynamite03,37,69,106,6.62
omjaiswal54321,184,223,407,6.56
samudra_0,13,0,13,6.5
Tanu_9114,146,268,414,6.47
MazterO,122,123,245,6.45
finlan,33,24,57,6.33
Rupesh_Maiti,13,6,19,6.33
Kingakshu2005,71,124,195,6.29
Phoenix_Masters,42,46,88,6.29
miracle234,28,47,75,6.25
sarafsiddhant,43,17,60,6
ArjunSIR,26,16,42,6
anka_hey,2,16,18,6
Harikaran,69,95,164,5.86
Ary2502,66,70,136,5.67
Yogi1805,22,6,28,5.6
fakevansh,4,7,11,5.5
deepak_21,8,30,38,5.43
SuchiSreedhar,27,43,70,5.38
GokulChan23,20,44,64,5.33
Tar_Sh,6,15,21,5.25
Nihal_jon03,31,58,89,5.24
aditya_dubey98,38,55,93,5.17
Roots_of_Chaos,28,44,72,5.14
Ishaan1204,50,70,120,5
Nilay109_Singh,95,173,268,4.96
Ayush02agr,75,122,197,4.8
rajat4002,26,17,43,4.78
Snoculaa,32,6,38,4.75
DhruvilJee,22,16,38,4.75
ayansamanta,69,73,142,4.73
phatakuddhav,12,25,37,4.62
Harishvenkii,73,112,185,4.4
gaurav212,24,20,44,4.4
kunal_goyal020304,36,55,91,4.33
akshay1101,17,0,17,4.25
JeevanshGrover,47,36,83,4.15
Divyaansh_5,36,75,111,3.96
samudra_01,32,39,71,3.94
Thunderbird_3,23,20,43,3.91
Chess0net,6,1,7,3.5
kripanshsharma,21,14,35,3.18
sakshu18,14,10,24,3
ReallyFamilyFriendly,31,34,65,2.95
pranshu17,13,10,23,2.88
PRANAVMANCHI,8,23,31,2.82
Paranoid101,7,4,11,2.75
raghav15x,23,20,43,2.69
Madhurisheshabutter,34,16,50,2.63
kaustubh124,19,14,33,2.2
Thunderbird_30,2,0,2,2
kiruthiga22,5,6,11,1.83
Suraj_Jha,7,0,7,1.75
JokingLemon,3,4,7,1.75
Vikkyrajput,2,12,14,1.75
jai_cha,12,17,29,1.61
shivansharma,10,0,10,1.25
mtank497,2,0,2,1
VazelWAR,2,0,2,1
shaandarvishnu,0,0,0,0
Vigneshhh,0,0,0,0
Nihal21980,0,0,0,0
ayusoam,0,0,0,0
IllTakeL,0,0,0,0
RuchitTripathi,0,0,0,0
mayank2119,0,0,0,0
akshay110,0,0,0,0
sahilsuman933,0,0,0,0
